FuncionarioID,Nome,Idade,Departamento,Cargo,Localização,Salário,DataAdmissao
1,Ana Vitória Castro,38,Recursos Humanos,Coordenador,EUA,16046,2022-01-08
2,Letícia Ribeiro,30,TI,Diretor,Índia,14928,2011-10-26
3,Rafael Cavalcanti,27,TI,Assistente,Reino Unido,19957,2015-10-01
4,Nina Novaes,22,Marketing,Diretor,Brasil,11906,2015-04-23
5,Maria Clara Novaes,59,Produção,Técnico,China,5623,2012-11-30
6,Sra. Mariana Jesus,35,Financeiro,Técnico,Reino Unido,14139,2021-11-27
7,Amanda Duarte,33,Recursos Humanos,Coordenador,Reino Unido,15074,2016-01-25
8,Thomas Oliveira,24,Recursos Humanos,Coordenador,China,7752,2013-08-19
9,Isadora Rodrigues,40,TI,Assistente,China,5385,2013-10-19
10,Erick Costela,25,Marketing,Analista,Reino Unido,17384,2022-08-28
11,Sra. Juliana Peixoto,35,Financeiro,Analista,Alemanha,8613,2012-11-16
12,Gabriel Correia,49,Financeiro,Assistente,Alemanha,7942,2016-11-01
13,Agatha Vieira,26,Marketing,Coordenador,Brasil,19776,2018-03-18
14,Diogo Lopes,44,Vendas,Técnico,China,6278,2018-12-25
15,Dr. Thales da Luz,53,Engenharia,Técnico,China,10802,2019-04-21
16,Bianca da Cruz,50,Vendas,Diretor,Brasil,12033,2011-11-16
17,Daniel da Luz,47,TI,Assistente,EUA,13399,2015-02-26
18,Evelyn Fernandes,46,Vendas,Diretor,EUA,11515,2017-10-17
19,Carlos Eduardo Pinto,33,Engenharia,Engenheiro,Coreia do Sul,13579,2020-01-05
20,Benício Mendes,26,Financeiro,Gerente,China,6074,2016-03-04
21,Matheus Fernandes,46,Financeiro,Gerente,Reino Unido,4886,2021-10-29
22,Thales Campos,51,Produção,Engenheiro,Alemanha,14674,2018-08-06
23,Ian Silveira,46,Vendas,Diretor,China,15251,2014-09-15
24,Clarice Barros,44,TI,Gerente,China,10834,2022-05-26
25,Sr. Gustavo Cavalcanti,33,TI,Gerente,Brasil,16764,2022-05-16
26,Ana Laura da Cruz,38,Engenharia,Engenheiro,EUA,19742,2013-12-09
27,Isabella Moraes,40,TI,Assistente,China,17481,2013-11-19
28,Brenda Cavalcanti,26,TI,Técnico,Índia,15653,2021-04-29
29,Anthony Farias,28,Engenharia,Analista,Coreia do Sul,19794,2021-01-02
30,Enzo Gabriel Carvalho,22,TI,Diretor,Coreia do Sul,9519,2021-10-16
31,Lavínia Nascimento,24,Financeiro,Coordenador,China,10863,2013-09-07
32,Natália Castro,48,Marketing,Gerente,China,16454,2015-09-12
33,Isadora Ribeiro,25,TI,Assistente,Coreia do Sul,19757,2021-07-16
34,Maria Cunha,53,Marketing,Engenheiro,Reino Unido,17915,2013-01-25
35,Lorena da Rocha,33,Recursos Humanos,Diretor,EUA,14107,2010-12-24
36,Agatha Nunes,28,Recursos Humanos,Coordenador,Alemanha,5036,2022-07-19
37,André Cavalcanti,30,Vendas,Engenheiro,Alemanha,18034,2017-11-16
38,Henrique Araújo,40,Produção,Engenheiro,Coreia do Sul,12772,2015-02-10
39,Ana Luiza Novaes,25,TI,Diretor,Coreia do Sul,14735,2017-03-26
40,Sr. André Teixeira,43,Engenharia,Coordenador,EUA,6764,2012-07-23
41,Marcela Araújo,54,Vendas,Assistente,Alemanha,10999,2012-01-06
42,Maria da Mata,48,Produção,Assistente,Reino Unido,9018,2012-04-21
43,Pedro Miguel Pereira,44,Recursos Humanos,Técnico,Brasil,11516,2022-11-12
44,Laís Fogaça,53,Recursos Humanos,Técnico,Brasil,6087,2014-11-02
45,Srta. Sofia Correia,24,Marketing,Assistente,Alemanha,14661,2015-08-26
46,Juliana Fogaça,60,Marketing,Gerente,Coreia do Sul,9548,2018-10-10
47,Clara Pereira,40,Financeiro,Técnico,Índia,6893,2021-08-23
48,Vitória Cavalcanti,50,Engenharia,Analista,Brasil,14939,2018-03-22
49,Sr. Breno Ribeiro,50,Financeiro,Técnico,Alemanha,7573,2017-02-27
50,Ana Júlia Caldeira,46,Produção,Coordenador,Coreia do Sul,14314,2019-04-16
51,Esther Freitas,34,Recursos Humanos,Coordenador,China,14672,2016-08-29
52,Joana Pereira,38,Marketing,Assistente,Reino Unido,18177,2012-09-03
53,Matheus Mendes,26,Engenharia,Assistente,Alemanha,14009,2018-10-19
54,Miguel Moreira,22,TI,Analista,Reino Unido,10539,2012-10-23
55,Sr. Cauã Cunha,33,TI,Coordenador,China,3268,2022-05-07
56,Heloísa Ramos,48,Marketing,Analista,Coreia do Sul,15245,2019-10-27
57,Sr. Lucas Lopes,48,Engenharia,Engenheiro,EUA,14833,2013-05-06
58,Kaique Monteiro,23,Marketing,Coordenador,Coreia do Sul,10332,2022-09-13
59,Lorenzo Monteiro,29,TI,Gerente,China,17323,2014-09-28
60,Noah Porto,59,Engenharia,Diretor,Alemanha,8200,2014-06-11
61,Manuela Moraes,51,Produção,Coordenador,Alemanha,15042,2020-04-28
62,Dra. Laura Dias,34,TI,Engenheiro,Reino Unido,4325,2014-06-23
63,Erick Silva,35,Engenharia,Analista,Reino Unido,5351,2021-11-06
64,João Souza,27,Marketing,Analista,Coreia do Sul,10232,2011-01-20
65,Marcos Vinicius Vieira,42,Marketing,Diretor,Brasil,3003,2022-01-26
66,Manuela da Paz,40,TI,Engenheiro,Coreia do Sul,7807,2015-05-23
67,Gustavo Melo,55,Produção,Engenheiro,Brasil,16320,2012-10-30
68,Lívia Fogaça,60,Marketing,Técnico,Brasil,9471,2014-01-22
69,Sra. Daniela Duarte,50,TI,Gerente,EUA,13640,2018-07-13
70,Antônio Freitas,31,Recursos Humanos,Diretor,Coreia do Sul,11276,2023-04-16
71,Raquel Nunes,56,Produção,Analista,Reino Unido,19608,2011-01-12
72,Levi Sales,58,Financeiro,Engenheiro,Coreia do Sul,3531,2012-03-08
73,Stephany da Conceição,33,Vendas,Diretor,China,6782,2020-06-20
74,Calebe Rezende,59,Engenharia,Analista,Coreia do Sul,6682,2010-04-25
75,Isis Lopes,24,Engenharia,Assistente,Índia,16371,2021-10-18
76,Bruno da Luz,29,Marketing,Técnico,EUA,14231,2012-04-04
77,Luiz Gustavo Oliveira,49,Produção,Coordenador,Alemanha,7867,2017-09-20
78,Luiz Henrique Nunes,25,TI,Técnico,Brasil,9473,2022-04-17
79,Paulo Campos,40,Financeiro,Analista,EUA,14247,2011-03-21
80,Isabelly da Rocha,51,Produção,Diretor,China,18719,2013-08-29
81,Giovanna Melo,22,Engenharia,Gerente,Coreia do Sul,6748,2017-09-17
82,Pedro Miguel Caldeira,40,Vendas,Diretor,Coreia do Sul,18309,2011-12-31
83,Maria Sophia Pires,30,Financeiro,Diretor,China,6677,2015-05-15
84,Daniela Cavalcanti,36,Marketing,Gerente,Reino Unido,11276,2022-09-02
85,Maria Nunes,31,Marketing,Diretor,Índia,15355,2022-06-11
86,Sra. Julia Peixoto,37,Financeiro,Diretor,Alemanha,17693,2022-02-20
87,Sr. Luiz Henrique Cavalcanti,23,TI,Assistente,Brasil,10729,2012-01-06
88,Sr. Antônio Azevedo,59,TI,Assistente,Coreia do Sul,5508,2017-03-06
89,Emilly Campos,41,Vendas,Engenheiro,Brasil,7224,2020-10-11
90,Caio Dias,27,Vendas,Diretor,Coreia do Sul,15725,2018-09-13
91,Srta. Alana Novaes,26,Engenharia,Gerente,Brasil,14577,2019-03-26
92,Eduarda Teixeira,42,Marketing,Diretor,Brasil,11627,2021-03-25
93,Sra. Isabella Costa,48,Marketing,Engenheiro,Coreia do Sul,15494,2013-04-18
94,Paulo Rezende,46,Marketing,Gerente,Índia,8517,2011-09-02
95,Pietra Ferreira,34,Marketing,Engenheiro,EUA,15346,2023-04-22
96,Erick Melo,47,Recursos Humanos,Engenheiro,Reino Unido,6700,2023-06-30
97,Nicole Nascimento,58,Financeiro,Coordenador,Reino Unido,17494,2011-05-07
98,Sra. Rafaela Cunha,47,Produção,Engenheiro,Reino Unido,9886,2020-04-30
99,Alexia Sales,48,TI,Técnico,EUA,19721,2021-10-29
100,Benjamin Barros,51,Recursos Humanos,Coordenador,Reino Unido,16712,2013-09-26
101,Rafaela da Rocha,58,Marketing,Engenheiro,Alemanha,3405,2017-03-05
102,Sophie Ferreira,54,Marketing,Analista,Índia,12016,2019-01-01
103,Daniel Nogueira,53,Vendas,Técnico,Reino Unido,3755,2013-01-08
104,Natália Silva,48,Vendas,Coordenador,Alemanha,6748,2023-01-24
105,Joana Caldeira,39,Financeiro,Gerente,Coreia do Sul,14274,2015-03-28
106,Pedro Miguel Cardoso,23,Engenharia,Engenheiro,Coreia do Sul,14730,2012-11-09
107,Leonardo Caldeira,55,Recursos Humanos,Analista,Alemanha,16112,2015-04-14
108,Raul Barros,41,Vendas,Diretor,China,19259,2015-08-16
109,Júlia da Luz,40,TI,Assistente,China,15691,2019-06-28
110,Nina da Paz,57,Produção,Gerente,EUA,10630,2012-02-08
111,Srta. Laura Farias,22,TI,Analista,Coreia do Sul,7958,2020-11-28
112,Sra. Mariane Lima,33,Produção,Coordenador,Índia,11428,2014-01-27
113,Fernanda Barros,50,Financeiro,Gerente,Reino Unido,7109,2015-08-06
114,João Mendes,29,Marketing,Engenheiro,Alemanha,5569,2012-09-07
115,Rebeca Cardoso,57,TI,Gerente,Alemanha,17221,2014-12-16
116,Vitor Hugo Castro,34,Marketing,Técnico,Brasil,19034,2014-09-09
117,Theo Rocha,51,Marketing,Técnico,China,9944,2021-10-18
118,Vitor Gabriel Martins,23,Recursos Humanos,Assistente,China,9010,2023-11-26
119,Sr. Davi Ribeiro,48,Marketing,Coordenador,Índia,4394,2011-01-05
120,Emanuel da Mata,56,Engenharia,Assistente,Coreia do Sul,11268,2016-03-10
121,Evelyn Gonçalves,59,Vendas,Coordenador,Índia,16844,2010-05-24
